unlocode,name,municipality,iso_country,lat,lon
EGGLB,Port Ghalib,Port Ghalib,EG,25.53333,34.63333
EGGUA,El-Guna (El Gouna),El-Guna (El Gouna),EG,27.38333,33.66667
EGHAM,Hamrawein,Hamrawein,EG,26.265306,34.196639
EGHRG,Hurghada,Hurghada,EG,27.222556,33.8307062
EGIKU,Idku,Idku,EG,31.3,30.3
EGMAH,Mersa El Hamra,Mersa El Hamra,EG,30.916667,28.833333
EGMEA,Porto Marina El Alamein,Porto Marina El Alamein,EG,30.81667,28.98333
EGNUW,Nuwaiba,Nuwaiba,EG,28.96667,34.65
EGOPT,Marsa Oriental Petrochemicals,Marsa Oriental Petrochemicals,EG,29.68333,32.35
EGPIB,Port Ibrahim,Port Ibrahim,EG,31.2656593,32.3116776
EGPSD,Port Said,Port Said,EG,31.263235,32.305505
EGPSE,Port Said East,Port Said East,EG,31.21667,32.35
EGPTK,Port Tewfik,Port Tewfik,EG,29.95,32.55
EGRAB,Ras Budran,Ras Budran,EG,28.93333,33.11667
EGRAG,Ras Gharib,Ras Gharib,EG,28.359444,33.077778
EGRSH,Ras Shukheir,Ras Shukheir,EG,28.131414,33.248477
EGRSU,Ras Sudr,Ras Sudr,EG,29.6,32.66667
EGSBY,Soma Bay Marina,Soma Bay Marina,EG,26.85,33.98333
EGSGA,Safaga,Safaga,EG,26.7633325,33.9383817
EGSIN,South Sinai (Ganoub Sinai),South Sinai (Ganoub Sinai),EG,29.2076755,33.8119441
EGSOK,Sokhna Port,Sokhna Port,EG,29.65,32.35
EGSSH,Sharm ash Shaykh,Sharm ash Shaykh,EG,27.86667,34.28333
EGSUZ,As Suways (Suez),As Suways (Suez),EG,29.96667,32.51667
EGTOR,El Tor,El Tor,EG,28.23333,33.61667
EGWAF,Wadi Feiran,Wadi Feiran,EG,28.67429,33.25727
EHEAI,Ejbei Uad el Aabd,Ejbei Uad el Aabd,EH,27.15,-13.2
ERASA,Assab,Assab,ER,13,42.73333
ERMSW,Massawa (Mitsiwa),Massawa (Mitsiwa),ER,15.6,39.45
ES2BL,Lloseta,Lloseta,ES,39.71667,2.86667
ES2TT,Ametlla,Ametlla,ES,40.8838957,0.8024645
ES2VA,Vallecillo,Vallecillo,ES,42.35,-5.2
ES4SS,Santurtz,Santurtz,ES,43.31667,-3.01667
ES8TC,Rejected,Rejected,ES,37.46667,-0.81667
ESAAQ,Santiago del Campo,Santiago del Campo,ES,39.63333,-6.36667
ESAAW,Sa Canal,Sa Canal,ES,38.83333,1.38333
ESABH,Abanto,Abanto,ES,41.1376502,-1.6987114
ESACA,Alcanar,Alcanar,ES,40.55,0.48333
ESACE,Lanzarote,Lanzarote,ES,28.96667,-13.53333
ESACH,Aceuchal,Aceuchal,ES,38.6479821,-6.486997
ESAD6,Nuevo Baztán,Nuevo Baztán,ES,40.36667,-3.25
ESADR,Adra,Adra,ES,36.75,-3.01667
ESADS,Alameda de La Sagra,Alameda de La Sagra,ES,40.013303,-3.7968786
ESADT,Alcaudete de la Jaya,Alcaudete de la Jaya,ES,39.78333,-4.86667
ESAGA,Agaete,Agaete,ES,28.11667,-15.7
ESAGD,La Guardia,La Guardia,ES,41.9,-8.88333
ESAGG,Argelaguer,Argelaguer,ES,42.21667,2.65
